video_file,verse_ref,speaker,sanskrit_shloka,padavibhaga_text,explanation_start,explanation_end,explanation_summary_en,short_summary,section_type
gita-1st_video,-,Narrator,-,-,-,-,"Arjuna entered the battlefield with enthusiasm, but on seeing the consequences of war, he lost heart, dropped his weapons, and refused to fight. Since a stubborn, prejudiced mind cannot absorb wisdom, Krishna first had to shake Arjuna out of that state and prepare him mentally before beginning his deeper teaching in Chapter 2.","Arjuna came to the battlefield eager to fight, but collapsed in despair after thinking about the consequences of war. Krishna first had to lift him out of that mental state before giving his deeper teaching.",Introduction
gita-1st_video,BG 2.1,Sanjaya,"ತಂ ತಥಾ ಕೃಪಯಾವಿಷ್ಟಂ ಅಶ್ರುಪೂರ್ಣಾಕುಲೇಕ್ಷಣಂ ವಿಷೀದಂತಮಿದಂ ವಾಕ್ಯಂ ಉವಾಚ ಮಧುಸೂದನಃ","ತಂ ತಥಾ ಕೃಪಯಾ ಆವಿಷ್ಟಂ ಅಶ್ರುಪೂರ್ಣ ಆಕುಲ ಈಕ್ಷಣಂ ವಿಷೀದಂತಂ ಇದಂ ವಾಕ್ಯಂ ಉವಾಚ ಮಧುಸೂದನಃ",,,"Arjuna is described as a man overwhelmed by compassion and blinded by tears, unable to think clearly or judge what is right. Though he had faced great warriors before, this war is different because he must fight his own teachers, elders, and relatives. His attachment to them causes deep sorrow and mental weakness, which is called vishada. At this moment, Krishna is addressed as Madhusudana, the destroyer of evil, showing that he is fully qualified to guide Arjuna. So Krishna does not begin with a full teaching right away, but first speaks a few words to prepare Arjuna's disturbed mind.","Arjuna was overcome by sorrow and attachment on seeing his own elders and relatives before him in battle, and so he lost clarity and strength of mind. Seeing this state of vishada, Krishna first prepared Arjuna mentally before beginning his full teaching.",shloka_explanation
gita-1st_video,BG 2.2,Krishna,"ಕುತಸ್ತ್ವಾ ಕಷ್ಪಲಮಿದಂ ವಿಷಮೇ ಸಮುಪಸ್ಥಿತಂ ಅನಾರ್ಯಜುಷ್ಟಂ ಅಸ್ವರ್ಗ್ಯಂ ಅಕೀರ್ತಿಕರಮರ್ಜುನಾ","ಕುತಃ ತ್ವಾ ಕಶ್ಮಲಂ ಇದಂ ವಿಷಮೇ ಸಮುಪಸ್ಥಿತಂ ಅನಾರ್ಯಜುಷ್ಟಂ ಅಸ್ವರ್ಗ್ಯಂ ಅಕೀರ್ತಿಕರಂ ಅರ್ಜುನಾ",,,"Krishna tells Arjuna that this is not the time for grief or weakness, especially after coming fully prepared for war. He says this attitude is like a stain in the wrong place at the wrong time—completely unworthy of the situation. It is unfit for noble people, does not lead to good, and will only bring suffering and disgrace. Krishna is shocked that such weakness has arisen in Arjuna, whom he never expected to think this way. Through these strong words, Krishna wants Arjuna to realize his mistake and awaken from his mental confusion.","Krishna tells Arjuna that this sorrow and weakness are unworthy of him and will bring only dishonor and harm. By speaking sharply, he tries to awaken Arjuna from delusion and make him stand up to his duty.",shloka_explanation
gita-1st_video,BG 2.3,Krishna,"ಕ್ಲೈಭ್ಯಂ ಮಾಸ್ಮಗಮಪಾರ್ಥ ನೈತತ್ವಯ್ಯುಪಪದ್ಯತೆ ಕ್ಷುದ್ರಂ ಹೃದಯ ದೌರ್ಬಲ್ಯಂ ತ್ಯಕ್ತೋತ್ತಿಷ್ಠ ಪರಂ ತಪಾ","ಕ್ಲೈವ್ಯಂ ಮಾ ಸ್ಮ ಗಮಃ ಸ್ಮ ಅನ್ನೋದು ಅವ್ಯಯ. ಮಾ ಅನ್ನೋದು ನಿಷೇಧಾರ್ಥಕವಾದ ಒಂದು ಅವ್ಯಯ. ಗಮಃ ಗಮಃ ಅಂದ್ರೆ ಅಗಮಃ ಅಂತ ಆ ಸೇರಿಸಬೇಕು. ಪಾರ್ಥ ಸಂಬೋಧನೆ ನ ಏತತ್ ತ್ವಯಿ ಉಪಪದ್ಯತೆ ಕ್ಷುದ್ರಂ ಹೃದಯ ದೌರ್ಬಲ್ಯಂ ತ್ಯಕ್ತ್ವಾ ಉತ್ತಿಷ್ಠ ಪರಂ ತಪ",,,"Krishna tells Arjuna that his weakness is not true wisdom, but a form of cowardice and mental weakness. He reminds him that such behavior does not suit a brave warrior and the son of Kunti. Arjuna's sorrow is described as a small and unworthy weakness of heart that must be thrown away. Krishna uses these harsh words to break Arjuna's stubbornness and expose his inner confusion. Only after this does Arjuna surrender as a disciple, becoming ready to receive the Gita's teaching.","Krishna tells Arjuna that his grief is really weakness, not wisdom, and is unworthy of a brave warrior like him. These strong words break Arjuna's pride and confusion, preparing him to surrender and receive the Gita's teaching.",shloka_explanation
gita-1st_video,-,Narrator,-,-,-,-,"May Sri Krishna, the one who is expounded in the Bhagavad Gita, bestow special blessings upon Muraleedhara Raya, who supported this program of word-by-word exposition of the Gita. May this be an offering to Sri Krishna.","May Sri Krishna bestow blessings upon Muraleedhara Raya who supported this program. May this be an offering to Sri Krishna.",closing
gita-2nd_video,-,Narrator,-,-,,,,"Krishna sharply scolds Arjuna to remove his weakness, awaken his courage, and make him face his true inner confusion. This inner change becomes clear when Arjuna openly expresses his resistance in Chapter 2, Verse 4 of the Bhagavad Gita.",Introduction
gita-2nd_video,BG 2.4,Arjuna,"ಕಥಂ ಭೀಷ್ಮಮಹಂ ಸಂಖ್ಯೆ ದ್ರೋಣಂಚ ಮಧುಸೂದನ ಇಶುಭಿ ಪ್ರತಿಯೋತ್ಸ್ಯಾಮಿ ಪೂಜಾರ್ಹಾವರಿಸೂದನ","ಕಥಂ ಭೀಷ್ಮಂ ಅಹಂ ಸಂಖ್ಯೆ ದ್ರೋಣಂ ಚ ಮಧುಸೂದನ ಇಶುಭಿಹಿ ಪ್ರತಿಯೋಶ್ಯಾಮಿ ಪೂಜಾರ್ಹೌ ಅರಿಸೂದನ",,,"Arjuna addresses Krishna as Madhusudana and says he cannot understand how to fight Bhishma and Drona in battle with arrows. He sees Bhishma as his revered grandsire and Drona as his worship-worthy teacher, both deserving honor, not attack. Instead of raising weapons against them, Arjuna feels he should bow to them and show reverence. He tells Krishna that destroying enemies is different, because these two are not enemies but beloved elders. In this way, Arjuna finally reveals the deep sorrow and conflict hidden in his heart.","Arjuna tells Krishna that Bhishma and Drona are not enemies, but revered elders worthy of worship and respect. So he opens his heart and says he cannot bring himself to raise weapons against them in battle.",shloka_explanation
gita-2nd_video,BG 2.5,Arjuna,"ಗುರುನ್ ಅಹತ್ವಾಶಿ ಮಹಾನುಭಾವಾನ್ ಕ್ಷೇಯೋ ಭೋಕ್ತುಂ ಭೈಕ್ಷಮಪೀಹಲೋಕೇ ಹತ್ವಾರ್ಥ ಕಾಮಾಂಸ್ತು ಗುರುನಿಹೈವ ಭುಂಜೀಯ ಭೋಗಾನ್ ರುಧಿರ ಪ್ರತಿಗ್ಧಾನ್","ಗುರುನ್ ಅಹತ್ವ ಶಿ ಮಹಾನುಭಾವನ್ ಶೇಯಃ ಭೋಕ್ತುಂ ಭೈಕ್ಷಮ್ ಅಪಿ ಇಹ ಲೋಕೆ ಹತ್ವಾ ಅರ್ಥಕಾಮಾನ್ ತು ಅರ್ಥಕಾಮಾಸ್ತು ಎಂಬಲ್ಲಿ ಅರ್ಥಕಾಮಾನ್ ತು ಗುರುನ್ ಇಹ ಏವ ಭುಂಜೀಯ ಭೋಗಾನ್ ರುಧಿರ ಪ್ರತಿಗ್ಧಾನ್",,,"Arjuna says it is better to live by begging than to kill noble elders and teachers in war. He knows begging is not proper for a Kshatriya, yet he sees it as the lesser wrong compared to slaying revered gurus. His heart recoils from a duty that demands violence against those worthy of honor. He also says that any kingdom or pleasure gained after killing them would feel stained with their blood. So Arjuna feels that a humble life is better than a victory filled with guilt and sorrow.","Arjuna feels that killing his elders and teachers is a greater wrong than abandoning his Kshatriya duty and living by begging. He says any victory or pleasure gained through their death would be blood-stained and impossible to enjoy.",shloka_explanation
gita-2nd_video,BG 2.6,,"ನಚೈತದ್ವಿದ್ಮಃ ಕತರನ್ನೋಗರೀಯೋ ಯದ್ವಾಜಯೇಮ ಯದಿವಾನೋಜಯೇಯುಹು ಯಾನೇವ ಹತ್ವಾ ನಜಿಜೀವಿಷಾಮಃ ತೇವಸ್ಥಿತಾ ಪ್ರಮುಖೇ ಧಾರ್ತರಾಷ್ಟ್ರಾಃ","ನ ಚ ಏತತ್ ವಿದ್ಮಃ ಕತರತ್ ನಃ ಗರೀಯಃ ಯದ್ ವಾ ಜಯೇಮ ಯಜಿ ವಾ ನೋ ಅಂದ್ರೆ ನಃ ಜಯೇಯುಃ ಯಾನ್ एव ಹತ್ವ ನ ಜಿಜೀವಿಷಾಮಃ ತೆ ಅವಸ್ಥಿತಾಹ ಪ್ರಮುಖೇ ಧಾರ್ತರಾಷ್ಟ್ರಾಹ",,,"Arjuna says that even if one ignores the sin of killing elders and teachers, victory in war is still uncertain. He admits they do not know whether the Pandavas will win or be defeated by the Kauravas. So he asks which path is truly better, since terrible violence cannot be justified without certainty of success. He also says that even if victory comes, life would feel empty after killing gurus, elders, and relatives. Thus, Arjuna feels that such a war offers neither true gain nor any joy in living.","Arjuna says the war is meaningless because victory is uncertain, while the sin of killing revered elders is certain. Even if they win, he feels such a victory would be hollow, since he would not wish to live after killing his own people.",shloka_explanation
gita-2nd_video,-,Narrator,-,-,,,,"May this be offered to Lord Krishna. Discourse sponsored by Sri Maravekere Muralidhara.",closing
gita-3rd_video,-,Narrator,-,-,,,,"Arjuna tells Krishna that he does not want to kill his teachers and elders, and even victory gained by their death would not bring him happiness.",Introduction
gita-3rd_video,BG 2.7,Arjuna,"ಕಾರ್ಪಣ್ಯದೋಷೋಪಹತ ಸ್ವಭಾವಃ ಪೃಚ್ಛಾಮಿತ್ವಾಂ ಧರ್ಮ ಸಮ್ಮೂಢಚೇತಾಃ ಯಚ್ಛ್ರೆಯಸ್ಯಾ ನಿಶ್ಚಿತಂ ಬ್ರೂಹಿತನ್ಮೇ ಶಿಷ್ಯಸ್ತೇಹಂ ಶಾಧಿಮಾಂ ತ್ವಾಂ ಪ್ರಪನ್ನಂ","ಕಾರ್ಪಣ್ಯ ದೋಷೋಪಹತ ಸ್ವಭಾವಃ ಪೃಚ್ಛಾಮಿ ತ್ವಾಂ ಧರ್ಮ ಸಮ್ಮೂಢ ಚೇತಾಹ ಯತ್ ಶ್ರೇಯಃ ನಿಶ್ಚಿತಂ ಬ್ರೂಹಿ ತತ್ ಮೇ ಶಿಷ್ಯಃ ತೇ ಅಹಂ ಶಾಧಿ ಮಾಂ ತ್ವಾಂ ಪ್ರಪನ್ನಂ",,,"Arjuna says that due to kārpaṇya (weakness caused by attachment and sorrow) he has lost his natural courage as a Kshatriya. Because of grief for his relatives and teachers, he is confused about what is right (dharma). He asks Krishna whether he should fight as a Kshatriya or give up war and live by begging. Arjuna says he wants to know what is truly good (śreyas) for him in this world and the next. Surrendering to Krishna as his disciple, he asks for clear guidance — and Krishna then begins the teaching of the Bhagavad Gita.",Arjuna says it is better to live by begging than enjoy such a kingdom and finally surrenders to Krishna for guidance.,shloka_explanation
gita-3rd_video,BG 2.8,Arjuna,"ನಹಿ ಪ್ರಪಶ್ಯಾಮಿ ಮಮಾಪನುದ್ಯಾತ್ ಯಚ್ಚೋಕಮುಚ್ಚೋಷಣ ಇಂದ್ರಿಯಾಣಾಂ ಅವಾಪ್ಯ ಭೂಮಾ ವಸಪತ್ನಮೃದ್ಧಂ ರಾಜ್ಯಂ ಸುರಾಣಾಂ ಅಪಿಚಾಧಿಪತ್ಯಂ","ನ ಹಿ ಪ್ರಪಶ್ಯಾಮಿ ಮಮ ಅಪನುದ್ಯಾತ್ ಯತ್ ಶೋಕಮ್ ಉಚ್ಛೋಷಣಮ್ ಇಂದ್ರಿಯಾಣಾಮ್ ಅವಾಪ್ಯ ಭೂಮೌ ಅಸಪತ್ನಂ ವೃದ್ಧಂ ರಾಜ್ಯಂ ಸುರಾಣಾಂ ಅಪಿ ಚ ಆಧಿಪತ್ಯಂ",,,"Arjuna says that even if he gains a prosperous kingdom on earth or even the lordship of heaven, it will not remove his deep sorrow. The thought of killing his own relatives in the war has dried up his senses and made him mentally weak. He cannot see any righteous solution that can remove this grief. Therefore, he asks Krishna to show him a path or teaching that can destroy his sorrow. Realizing his confusion, Arjuna humbly surrenders to Krishna as his disciple and asks for guidance.","Arjuna says that even gaining a prosperous kingdom or the lordship of heaven cannot remove the deep sorrow caused by the thought of killing his relatives in war. Unable to find a solution, he surrenders to Krishna as his disciple and asks him to show the right path to remove his grief.",shloka_explanation
gita-3rd_video,BG 2.9,Sanjaya,"ಏವಮುಕ್ತ್ವಾ ಹೃಷಿಕೇಶಂ ಗುಡಾಕೇಶಃ ಪರಂತಪಃ ನಯೋತ್ಸ್ಯ ಇತಿ ಗೋವಿಂದಂ ಉಕ್ತ್ವಾ ತೂಷ್ಣೀಂ ಬಭೂವಃ","ಏವಂ ಉಕ್ತ್ವಾ ಹೃಷಿಕೇಶಂ ಗುಡಾಕೇಶಃ ಪರಂತಪಃ ನ ಯೋಶ್ಯೆ ಯೋಶ್ಯೆ ಇತಿ ಗೋವಿಂದಂ ಉಕ್ತ್ವ ತೂಷ್ಣಿಂ ಬಭೂವಃ",,,"Arjuna, called Gudakesha (one who conquered sleep) and Parantapa (one who torments enemies), tells Krishna (Hrishikesha) that he will not fight and then becomes silent. Krishna is called Hrishikesha because he controls all the senses, while Arjuna has only conquered sleep. Vyasa uses the names Hrishikesha and Govinda to show that Krishna is the supreme being described in the Vedas and scriptures. Though Arjuna tries to explain dharma and refuses to fight, the truth is that Krishna alone knows the real wisdom and will give the proper teaching.","Arjuna (Gudakesha) tells Krishna (Hrishikesha) that he will not fight and becomes silent despite being a great warrior. The names Hrishikesha and Govinda show that Krishna is the supreme being who controls all senses and will guide Arjuna with true wisdom.",shloka_explanation
gita-3rd_video,-,Narrator,-,-,,,,"May this be offered to Lord Krishna. Discourse sponsored by Sri Maravekere Muralidhara.",closing
gita-4th_video,-,Narrator,-,-,,,,"Arjuna reveals his real problem to Krishna and surrenders to him as disciple. After saying he will not fight, Arjuna becomes silent. Sanjaya narrates this to Dhritarashtra.",introduction
