unit_id,video_file,detected_verses
kn_gita-1st_video_0000,gita-1st_video,BG 2.3;BG 2.6;BG 2.9
kn_gita-1st_video_0001,gita-1st_video,BG 2.1;BG 2.39;BG 2.49
kn_gita-1st_video_0002,gita-1st_video,BG 2.1;BG 2.49;BG 2.6
kn_gita-1st_video_0003,gita-1st_video,BG 2.1;BG 2.2;BG 2.49
kn_gita-1st_video_0004,gita-1st_video,BG 2.1;BG 2.2;BG 2.49
kn_gita-1st_video_0005,gita-1st_video,BG 2.3;BG 2.36;BG 2.7
kn_gita-1st_video_0006,gita-1st_video,BG 2.3;BG 2.49;BG 2.6
kn_gita-1st_video_0007,gita-1st_video,BG 2.2;BG 2.21;BG 2.34
kn_gita-1st_video_0008,gita-1st_video,BG 2.2;BG 2.36;BG 2.49
kn_gita-1st_video_0009,gita-1st_video,BG 2.48;BG 2.54;BG 2.60
kn_gita-1st_video_0010,gita-1st_video,BG 2.3;BG 2.37;BG 2.41
kn_gita-1st_video_0011,gita-1st_video,BG 2.3;BG 2.36;BG 2.49
kn_gita-1st_video_0012,gita-1st_video,BG 2.2;BG 2.3;BG 2.48
kn_gita-1st_video_0013,gita-1st_video,BG 2.49;BG 2.7;BG 2.9
kn_gita-1st_video_0014,gita-1st_video,BG 2.1;BG 2.3;BG 2.49
kn_gita-2nd_video_0000,gita-2nd_video,BG 2.3;BG 2.36;BG 2.4
kn_gita-2nd_video_0001,gita-2nd_video,BG 2.4;BG 2.51;BG 2.6
kn_gita-2nd_video_0002,gita-2nd_video,BG 2.4;BG 2.5;BG 2.6
kn_gita-2nd_video_0003,gita-2nd_video,BG 2.41;BG 2.5;BG 2.6
kn_gita-2nd_video_0004,gita-2nd_video,BG 2.4;BG 2.49;BG 2.5
kn_gita-2nd_video_0005,gita-2nd_video,BG 2.49;BG 2.5;BG 2.6
kn_gita-2nd_video_0006,gita-2nd_video,BG 2.5;BG 2.6;BG 2.62
kn_gita-2nd_video_0007,gita-2nd_video,BG 2.49;BG 2.5;BG 2.6
kn_gita-2nd_video_0008,gita-2nd_video,BG 2.41;BG 2.5;BG 2.6
