unit_id,video_file,detected_verses
kn_gita-1st_video_0000,gita-1st_video,BG 2.10;BG 2.9
kn_gita-1st_video_0001,gita-1st_video,BG 2.1
kn_gita-1st_video_0002,gita-1st_video,BG 2.1;BG 2.2
kn_gita-1st_video_0003,gita-1st_video,BG 2.47
kn_gita-1st_video_0004,gita-1st_video,BG 2.2;BG 2.3
kn_gita-1st_video_0005,gita-1st_video,BG 2.47;BG 2.48
kn_gita-1st_video_0006,gita-1st_video,
kn_gita-1st_video_0007,gita-1st_video,BG 2.2;BG 2.3
kn_gita-1st_video_0008,gita-1st_video,BG 2.2;BG 2.3
kn_gita-1st_video_0009,gita-1st_video,BG 2.2
kn_gita-1st_video_0010,gita-1st_video,BG 2.2;BG 2.3
kn_gita-1st_video_0011,gita-1st_video,BG 2.2;BG 2.3
kn_gita-1st_video_0012,gita-1st_video,BG 2.47;BG 2.48
kn_gita-1st_video_0013,gita-1st_video,
kn_gita-1st_video_0014,gita-1st_video,BG 2.2
kn_kannada_07_0000,kannada_07,
kn_kannada_07_0001,kannada_07,BG 2.15;BG 2.47;BG 2.48
kn_kannada_07_0002,kannada_07,BG 2.14
kn_kannada_07_0003,kannada_07,BG 2.48;BG 2.50
kn_kannada_07_0004,kannada_07,BG 2.48;BG 2.50
kn_kannada_07_0005,kannada_07,
kn_kannada_07_0006,kannada_07,
kn_kannada_07_0007,kannada_07,
kn_kannada_07_0008,kannada_07,BG 2.14;BG 2.15;BG 2.16
kn_kannada_07_0009,kannada_07,BG 2.16
kn_kannada_07_0010,kannada_07,
kn_kannada_07_0011,kannada_07,BG 2.47;BG 2.48
kn_kannada_07_0012,kannada_07,
kn_kannada_07_0013,kannada_07,
kn_kannada_07_0014,kannada_07,BG 2.20;BG 2.21
kn_kannada_13_0000,kannada_13,BG 2.32
kn_kannada_13_0001,kannada_13,
kn_kannada_13_0002,kannada_13,
kn_kannada_13_0003,kannada_13,
kn_kannada_13_0004,kannada_13,BG 2.37;BG 2.38
kn_kannada_13_0005,kannada_13,BG 2.31;BG 2.32
kn_kannada_13_0006,kannada_13,BG 2.31;BG 2.33;BG 2.47
kn_kannada_13_0007,kannada_13,BG 2.31;BG 2.32
kn_kannada_13_0008,kannada_13,
kn_kannada_13_0009,kannada_13,
kn_kannada_13_0010,kannada_13,BG 2.34;BG 2.35
